iter	Passed	Remaining
0	126	125974
1	126	63293
2	127	42391
3	128	31951
4	129	25729
5	130	21556
6	131	18598
7	131	16363
8	132	14635
9	133	13241
10	134	12095
11	135	11164
12	136	10371
13	137	9682
14	138	9078
15	139	8552
16	139	8089
17	141	7702
18	142	7344
19	143	7011
20	143	6709
21	144	6436
22	145	6189
23	146	5957
24	147	5745
25	148	5549
26	149	5371
27	150	5237
28	151	5079
29	152	4929
30	153	4808
31	155	4689
32	156	4594
33	157	4488
34	159	4390
35	160	4290
36	161	4197
37	162	4105
38	163	4018
39	163	3933
40	165	3868
41	166	3798
42	168	3741
43	169	3676
44	170	3613
45	171	3555
46	172	3495
47	173	3439
48	174	3381
49	175	3327
50	176	3278
51	176	3225
52	177	3177
53	179	3142
54	180	3102
55	182	3071
56	183	3031
57	184	2993
58	185	2958
59	186	2921
60	187	2883
61	188	2848
62	189	2815
63	190	2782
64	191	2748
65	191	2715
66	192	2684
67	194	2667
68	195	2638
69	196	2611
70	197	2586
71	198	2561
72	199	2536
73	200	2510
74	201	2488
75	202	2464
76	204	2449
77	205	2426
78	206	2402
79	206	2380
80	207	2356
81	209	2340
82	209	2316
83	210	2300
84	213	2297
85	214	2278
86	215	2260
87	216	2247
88	217	2230
89	218	2213
90	220	2207
91	222	2193
92	224	2191
93	226	2181
94	227	2166
95	228	2151
96	229	2139
97	230	2125
98	231	2109
99	232	2094
100	233	2078
101	234	2063
102	235	2049
103	236	2035
104	236	2019
105	237	2004
106	238	1991
107	240	1986
108	241	1977
109	242	1966
110	243	1952
111	244	1939
112	245	1926
113	246	1913
114	246	1900
115	247	1888
116	248	1875
117	249	1865
118	250	1854
119	251	1841
120	251	1830
121	252	1817
122	253	1806
123	254	1796
124	255	1787
125	256	1781
126	257	1771
127	258	1763
128	259	1754
129	260	1745
130	261	1736
131	262	1727
132	263	1719
133	264	1710
134	265	1701
135	266	1693
136	267	1684
137	268	1676
138	270	1672
139	271	1669
140	272	1661
141	273	1652
142	274	1646
143	276	1640
144	276	1633
145	278	1626
146	278	1618
147	279	1611
148	280	1604
149	281	1596
150	282	1588
151	283	1579
152	283	1572
153	285	1568
154	286	1563
155	289	1563
156	290	1558
157	291	1551
158	292	1545
159	292	1537
160	293	1529
161	294	1522
162	295	1515
163	296	1509
164	296	1502
165	297	1495
166	298	1488
167	299	1481
168	301	1480
169	302	1477
170	303	1472
171	304	1465
172	305	1459
173	306	1453
174	306	1446
175	307	1440
176	308	1434
177	309	1428
178	310	1423
179	311	1417
180	312	1413
181	313	1407
182	313	1401
183	315	1399
184	317	1397
185	318	1393
186	319	1389
187	320	1384
188	321	1379
189	322	1373
190	323	1368
191	323	1362
192	324	1357
193	325	1352
194	326	1347
195	327	1342
196	328	1337
197	328	1331
198	329	1326
199	331	1324
200	333	1323
201	334	1320
202	335	1316
203	336	1311
204	337	1307
205	338	1302
206	338	1298
207	339	1294
208	340	1290
209	341	1285
210	342	1280
211	343	1275
212	344	1271
213	345	1268
214	346	1264
215	347	1260
216	347	1255
217	348	1251
218	349	1247
219	350	1243
220	351	1238
221	352	1234
222	353	1229
223	353	1225
224	354	1221
225	355	1217
226	356	1213
227	357	1209
228	358	1206
229	359	1203
230	360	1199
231	361	1195
232	362	1191
233	362	1187
234	363	1183
235	364	1179
236	365	1176
237	366	1172
238	366	1168
239	367	1164
240	368	1160
241	369	1156
242	369	1152
243	370	1148
244	371	1145
245	372	1141
246	373	1137
247	373	1133
248	374	1130
249	375	1126
250	376	1122
251	377	1119
252	377	1115
253	378	1112
254	379	1108
255	380	1105
256	381	1103
257	382	1100
258	383	1097
259	384	1094
260	385	1091
261	386	1088
262	387	1085
263	388	1082
264	389	1079
265	390	1076
266	391	1073
267	391	1070
268	392	1067
269	393	1064
270	394	1061
271	395	1057
272	396	1054
273	396	1051
274	397	1048
275	398	1045
276	399	1042
277	400	1039
278	401	1036
279	402	1033
280	402	1030
281	403	1027
282	404	1024
283	405	1021
284	406	1018
285	406	1015
286	407	1012
287	408	1009
288	409	1006
289	410	1004
290	411	1001
291	411	998
292	412	995
293	413	992
294	414	990
295	414	986
296	415	984
297	416	981
298	417	978
299	423	988
300	424	986
301	426	985
302	427	984
303	428	981
304	429	979
305	430	977
306	431	974
307	432	972
308	433	970
309	434	967
310	435	965
311	439	968
312	440	967
313	441	965
314	442	962
315	443	960
316	444	958
317	445	956
318	446	953
319	447	950
320	448	948
321	449	945
322	449	942
323	450	940
324	451	937
325	458	947
326	460	947
327	461	945
328	462	943
329	463	941
330	464	938
331	465	935
332	465	933
333	466	930
334	468	930
335	469	927
336	470	926
337	471	923
338	472	921
339	473	919
340	474	916
341	475	914
342	475	911
343	476	908
344	477	906
345	478	904
